source,target,score
45.0,294.0,0.9253731343283582
45.0,61.0,0.9104477611940298
45.0,357.0,0.9552238805970149
45.0,360.0,0.9104477611940298
45.0,68.0,0.9253731343283582
45.0,333.0,0.9104477611940298
45.0,287.0,0.9552238805970149
6.0,219.0,0.9104477611940298
6.0,257.0,0.9701492537313433
6.0,6.0,1.0
6.0,179.0,0.9402985074626866
6.0,98.0,0.9402985074626866
6.0,7.0,0.9402985074626866
6.0,259.0,0.9104477611940298
6.0,301.0,0.9104477611940298
6.0,174.0,0.9253731343283582
6.0,243.0,0.9253731343283582
6.0,40.0,0.9253731343283582
6.0,26.0,0.9253731343283582
6.0,226.0,0.9552238805970149
6.0,362.0,0.9253731343283582
6.0,378.0,0.9253731343283582
6.0,25.0,0.9253731343283582
6.0,315.0,0.9253731343283582
6.0,328.0,0.9253731343283582
6.0,112.0,0.9104477611940298
6.0,164.0,0.9402985074626866
6.0,396.0,0.9104477611940298
6.0,397.0,0.9104477611940298
6.0,331.0,0.9253731343283582
6.0,160.0,0.9104477611940298
6.0,304.0,0.9253731343283582
6.0,76.0,0.9253731343283582
6.0,387.0,0.9552238805970149
6.0,3.0,0.9253731343283582
6.0,371.0,0.9253731343283582
6.0,402.0,0.9402985074626866
6.0,292.0,0.9104477611940298
6.0,4.0,0.9104477611940298
6.0,44.0,0.9402985074626866
6.0,55.0,0.9104477611940298
6.0,169.0,0.9104477611940298
6.0,86.0,0.9104477611940298
6.0,54.0,0.9104477611940298
6.0,336.0,0.9253731343283582
6.0,319.0,0.9402985074626866
6.0,35.0,0.9104477611940298
6.0,364.0,0.9104477611940298
6.0,168.0,0.9402985074626866
6.0,11.0,0.9402985074626866
6.0,235.0,0.9253731343283582
6.0,37.0,0.9552238805970149
6.0,299.0,0.9104477611940298
6.0,101.0,0.9253731343283582
6.0,398.0,0.9253731343283582
6.0,260.0,0.9701492537313433
6.0,130.0,0.9104477611940298
6.0,51.0,0.9253731343283582
6.0,360.0,0.9104477611940298
6.0,251.0,0.9253731343283582
6.0,178.0,0.9104477611940298
6.0,333.0,0.9104477611940298
6.0,91.0,0.9104477611940298
6.0,122.0,0.9402985074626866
6.0,369.0,0.9104477611940298
6.0,85.0,0.9402985074626866
179.0,360.0,0.9701492537313433
179.0,68.0,0.9552238805970149
179.0,83.0,0.9104477611940298
179.0,333.0,0.9402985074626866
179.0,205.0,0.9104477611940298
179.0,91.0,0.9104477611940298
179.0,287.0,0.9552238805970149
179.0,276.0,0.9104477611940298
179.0,85.0,0.9104477611940298
98.0,183.0,0.9104477611940298
98.0,310.0,0.9104477611940298
98.0,402.0,0.9402985074626866
98.0,4.0,0.9104477611940298
98.0,152.0,0.9552238805970149
98.0,54.0,0.9104477611940298
98.0,168.0,0.9402985074626866
98.0,214.0,0.9253731343283582
98.0,246.0,0.9253731343283582
98.0,11.0,0.9104477611940298
98.0,227.0,0.9253731343283582
98.0,37.0,0.9253731343283582
98.0,299.0,0.9402985074626866
98.0,295.0,0.9552238805970149
98.0,144.0,0.9104477611940298
98.0,398.0,0.9552238805970149
98.0,260.0,0.9402985074626866
98.0,341.0,0.9104477611940298
98.0,130.0,0.9701492537313433
98.0,51.0,0.9253731343283582
98.0,163.0,0.9552238805970149
98.0,68.0,0.9253731343283582
98.0,269.0,0.9104477611940298
98.0,333.0,0.9104477611940298
98.0,91.0,0.9402985074626866
98.0,153.0,0.9552238805970149
98.0,122.0,0.9104477611940298
98.0,369.0,0.9104477611940298
98.0,85.0,0.9402985074626866
143.0,209.0,0.9402985074626866
143.0,227.0,0.9253731343283582
143.0,360.0,0.9402985074626866
177.0,83.0,0.9104477611940298
177.0,333.0,0.9104477611940298
177.0,276.0,0.9402985074626866
